ACUR,2015-01-15,0.60,0.62,0.58,0.60,2015-01-14,0.63,0.65,0.60,0.62,2015-01-13,0.64,0.66,0.62,0.62,2015-01-12,0.68,0.68,0.60,0.62,2015-01-09,0.58,0.70,0.58,0.66,2015-01-08,0.62,0.67,0.59,0.60,2015-01-07,0.57,0.57,0.49,0.57,2015-01-06,0.57,0.57,0.53,0.57,2015-01-05,0.53,0.58,0.47,0.58,2015-01-02,0.46,0.53,0.45,0.50,2014-12-31,0.46,0.50,0.45,0.45,2014-12-30,0.45,0.48,0.45,0.47,2014-12-29,0.48,0.50,0.47,0.47
ACWI,2015-01-15,57.66,57.86,57.17,57.21,2015-01-14,57.06,57.41,56.78,57.34,2015-01-13,58.00,58.37,57.17,57.61,2015-01-12,58.03,58.03,57.35,57.57,2015-01-09,58.40,58.40,57.69,57.90,2015-01-08,57.87,58.36,57.82,58.26,2015-01-07,57.08,57.44,56.94,57.36,2015-01-06,57.20,57.43,56.40,56.62,2015-01-05,58.03,58.03,57.10,57.21,2015-01-02,58.66,58.88,58.15,58.36,2014-12-31,59.19,59.25,58.32,58.50,2014-12-30,59.27,59.27,59.02,59.03,2014-12-29,59.41,59.56,59.29,59.42
ACWX,2015-01-15,42.59,42.59,42.24,42.31,2015-01-14,41.97,42.15,41.74,42.09,2015-01-13,42.47,42.67,41.91,42.22,2015-01-12,42.22,42.28,41.89,42.08,2015-01-09,42.46,42.49,42.07,42.25,2015-01-08,42.24,42.61,42.21,42.48,2015-01-07,41.70,41.96,41.56,41.87,2015-01-06,41.82,41.92,41.24,41.40,2015-01-05,42.32,42.32,41.72,41.83,2015-01-02,43.17,43.17,42.70,42.76,2014-12-31,43.29,43.37,42.98,43.02,2014-12-30,43.38,43.38,43.22,43.23,2014-12-29,43.61,43.68,43.51,43.54
ACXM,2015-01-15,19.24,19.49,18.40,18.44,2015-01-14,19.12,19.50,18.71,19.33,2015-01-13,19.83,20.53,19.21,19.51,2015-01-12,19.65,19.95,19.49,19.72,2015-01-09,19.79,20.00,19.57,19.68,2015-01-08,19.59,20.08,19.12,19.79,2015-01-07,19.20,19.49,19.04,19.34,2015-01-06,19.48,19.67,18.71,19.08,2015-01-05,19.44,19.63,19.09,19.42,2015-01-02,20.34,20.49,19.18,19.60,2014-12-31,20.63,20.68,20.24,20.27,2014-12-30,20.86,20.86,20.53,20.53,2014-12-29,20.66,20.82,20.49,20.81
ADAT,2015-01-15,0.78,0.84,0.70,0.77,2015-01-14,0.82,0.85,0.71,0.77,2015-01-13,0.88,0.88,0.83,0.84,2015-01-12,0.89,0.89,0.83,0.86,2015-01-09,0.90,0.90,0.83,0.87,2015-01-08,0.90,0.90,0.85,0.90,2015-01-07,0.89,0.90,0.84,0.89,2015-01-06,0.89,0.90,0.84,0.90,2015-01-05,0.90,0.90,0.86,0.90,2015-01-02,0.94,0.94,0.90,0.93,2014-12-31,0.92,0.95,0.87,0.94,2014-12-30,0.93,0.93,0.93,0.93,2014-12-29,0.87,0.93,0.87,0.92
ADBE,2015-01-15,71.71,71.75,70.16,70.29,2015-01-14,69.88,70.40,68.98,69.99,2015-01-13,71.95,72.96,69.95,70.59,2015-01-12,72.13,72.26,70.75,71.12,2015-01-09,72.89,73.13,71.63,71.84,2015-01-08,71.40,73.06,71.31,72.92,2015-01-07,70.77,71.29,70.42,71.11,2015-01-06,71.95,72.10,69.88,70.53,2015-01-05,72.21,72.43,71.57,71.98,2015-01-02,72.70,73.20,71.89,72.34,2014-12-31,73.40,74.21,72.65,72.70,2014-12-30,73.67,73.86,72.76,73.10,2014-12-29,74.56,74.58,74.00,74.13
ADEP,2015-01-15,8.46,8.46,8.08,8.19,2015-01-14,8.25,8.50,8.01,8.46,2015-01-13,8.27,8.60,8.16,8.40,2015-01-12,7.93,8.20,7.90,8.09,2015-01-09,8.20,8.20,7.94,8.11,2015-01-08,8.20,8.29,8.06,8.24,2015-01-07,8.15,8.22,7.87,8.07,2015-01-06,8.66,8.67,7.95,8.18,2015-01-05,8.61,8.64,8.41,8.61,2015-01-02,8.71,8.75,8.40,8.73,2014-12-31,8.61,8.81,8.42,8.68,2014-12-30,8.71,8.83,8.55,8.55,2014-12-29,8.98,8.98,8.72,8.92
ADES,2015-01-15,19.87,20.04,19.26,19.53,2015-01-14,19.80,19.99,19.52,19.79,2015-01-13,20.91,20.91,19.65,20.07,2015-01-12,21.27,21.27,20.50,20.70,2015-01-09,21.42,21.61,21.15,21.34,2015-01-08,21.11,22.03,20.92,21.44,2015-01-07,20.63,20.91,20.25,20.91,2015-01-06,21.64,21.64,20.39,20.53,2015-01-05,21.73,21.92,21.21,21.40,2015-01-02,22.96,22.96,21.69,21.86,2014-12-31,23.19,23.56,22.73,22.79,2014-12-30,22.38,23.42,22.33,23.06,2014-12-29,21.52,22.24,21.52,22.13
ADHD,2015-01-15,6.76,7.05,6.20,6.42,2015-01-14,5.93,6.89,5.71,6.71,2015-01-13,5.54,6.45,5.54,6.05,2015-01-12,5.25,6.10,5.18,5.60,2015-01-09,4.17,5.96,4.17,5.29,2015-01-08,4.06,4.38,4.04,4.25,2015-01-07,3.96,4.07,3.88,4.00,2015-01-06,3.99,4.20,3.83,3.97,2015-01-05,3.81,4.16,3.70,3.95,2015-01-02,3.78,3.94,3.68,3.81,2014-12-31,3.75,3.84,3.66,3.73,2014-12-30,3.88,3.88,3.75,3.75,2014-12-29,3.89,4.07,3.71,3.77
