ADMA,2015-01-15,10.76,10.99,10.65,10.73,2015-01-14,10.81,10.85,10.56,10.56,2015-01-13,10.75,10.90,10.63,10.75,2015-01-12,10.97,10.97,10.57,10.57,2015-01-09,11.95,11.95,10.94,11.00,2015-01-08,10.91,11.50,10.91,11.02,2015-01-07,11.06,11.95,10.91,11.02,2015-01-06,11.04,11.50,11.04,11.22,2015-01-05,11.50,11.52,11.11,11.11,2015-01-02,11.25,11.50,11.20,11.45,2014-12-31,11.13,11.25,10.98,11.17,2014-12-30,11.05,11.11,11.00,11.00,2014-12-29,11.64,11.64,10.91,11.00
ADMP,2015-01-15,5.71,5.80,5.50,5.53,2015-01-14,5.65,5.82,5.50,5.65,2015-01-13,5.94,5.95,5.60,5.65,2015-01-12,5.65,5.97,5.51,5.82,2015-01-09,5.21,5.75,5.15,5.60,2015-01-08,6.66,7.00,6.57,6.99,2015-01-07,6.21,6.54,6.14,6.44,2015-01-06,6.31,6.33,6.12,6.21,2015-01-05,6.04,6.45,6.00,6.22,2015-01-02,6.15,6.23,5.87,6.14,2014-12-31,6.13,6.17,5.85,6.17,2014-12-30,6.09,6.26,5.93,6.04,2014-12-29,5.25,6.00,5.25,5.99
ADMS,2015-01-15,17.43,17.54,16.81,16.93,2015-01-14,16.80,17.57,16.80,17.48,2015-01-13,17.04,17.22,16.60,16.93,2015-01-12,16.92,17.10,16.65,16.97,2015-01-09,17.02,17.16,16.23,16.86,2015-01-08,17.09,17.36,16.83,16.92,2015-01-07,16.51,17.17,16.40,16.98,2015-01-06,16.70,16.93,16.13,16.50,2015-01-05,17.59,17.60,16.41,16.68,2015-01-02,17.48,17.94,17.21,17.49,2014-12-31,16.94,17.40,16.94,17.37,2014-12-30,17.18,17.18,16.75,17.00,2014-12-29,17.16,17.45,16.30,17.26
ADNC,2015-01-15,4.32,4.32,4.03,4.05,2015-01-14,4.42,4.50,4.22,4.25,2015-01-13,4.58,4.65,4.36,4.44,2015-01-12,4.54,4.67,4.46,4.53,2015-01-09,4.52,4.57,4.33,4.52,2015-01-08,4.42,4.53,4.31,4.52,2015-01-07,4.42,4.52,4.36,4.38,2015-01-06,4.56,4.56,4.17,4.40,2015-01-05,4.49,4.63,4.40,4.58,2015-01-02,4.45,4.54,4.27,4.48,2014-12-31,4.40,4.60,4.37,4.40,2014-12-30,4.29,4.53,4.29,4.41,2014-12-29,4.25,4.34,4.23,4.28
ADP,2015-01-15,83.87,84.34,83.33,83.70,2015-01-14,83.08,83.99,82.97,83.74,2015-01-13,84.80,85.50,83.29,83.98,2015-01-12,84.72,85.04,83.81,84.15,2015-01-09,85.05,85.19,84.11,84.56,2015-01-08,83.96,85.18,83.64,85.17,2015-01-07,82.22,83.32,81.80,83.26,2015-01-06,83.30,83.74,81.96,82.54,2015-01-05,83.25,84.44,82.95,83.23,2015-01-02,82.98,84.18,82.52,83.29,2014-12-31,84.38,84.87,83.36,83.37,2014-12-30,84.74,84.91,84.01,84.11,2014-12-29,85.02,85.24,84.82,84.87
ADRA,2015-01-15,28.33,28.50,28.33,28.50,2015-01-14,28.00,28.00,27.92,27.92,2015-01-13,28.34,28.48,28.26,28.26,2015-01-12,28.06,28.09,28.06,28.09,2015-01-09,28.30,28.31,28.19,28.19,2015-01-08,28.44,28.44,28.34,28.36,2015-01-07,28.10,28.11,28.10,28.10,2015-01-06,27.70,27.81,27.46,27.61,2015-01-05,28.17,28.17,27.84,27.95,2015-01-02,28.35,28.57,28.17,28.40,2014-12-31,28.48,28.48,28.48,28.48,2014-12-30,28.60,28.60,28.36,28.36,2014-12-29,28.61,28.72,28.60,28.72
ADRD,2015-01-15,22.10,22.10,21.87,21.97,2015-01-14,21.75,21.79,21.62,21.79,2015-01-13,22.00,22.06,21.79,21.79,2015-01-12,21.80,21.83,21.76,21.76,2015-01-09,21.90,21.90,21.81,21.84,2015-01-08,21.88,22.06,21.88,22.00,2015-01-07,21.61,21.69,21.55,21.68,2015-01-06,21.76,21.76,21.38,21.50,2015-01-05,22.00,22.00,21.61,21.70,2015-01-02,22.63,22.63,22.30,22.30,2014-12-31,22.76,22.76,22.41,22.41,2014-12-30,22.56,22.60,22.53,22.54,2014-12-29,22.92,22.92,22.75,22.79
ADRE,2015-01-15,35.80,35.87,35.55,35.55,2015-01-14,35.21,35.35,34.96,35.35,2015-01-13,35.66,35.78,35.43,35.52,2015-01-12,35.45,35.48,35.10,35.22,2015-01-09,35.81,35.87,35.52,35.69,2015-01-08,35.44,35.88,35.44,35.75,2015-01-07,34.92,35.24,34.92,35.11,2015-01-06,34.51,34.54,34.11,34.48,2015-01-05,34.81,34.81,34.43,34.46,2015-01-02,35.47,35.47,35.06,35.16,2014-12-31,35.62,35.71,35.50,35.52,2014-12-30,35.73,35.73,35.47,35.54,2014-12-29,35.78,35.94,35.75,35.75
ADRU,2015-01-15,21.83,21.87,21.71,21.87,2015-01-14,21.67,21.67,21.57,21.57,2015-01-13,21.70,21.89,21.67,21.67,2015-01-12,21.68,21.70,21.50,21.68,2015-01-09,21.72,21.73,21.55,21.72,2015-01-08,21.89,21.94,21.82,21.82,2015-01-07,21.41,21.52,21.41,21.52,2015-01-06,21.61,21.61,21.25,21.37,2015-01-05,21.86,21.86,21.58,21.58,2015-01-02,22.53,22.53,22.21,22.27,2014-12-31,22.50,22.50,22.33,22.33,2014-12-30,22.63,22.63,22.47,22.47,2014-12-29,22.61,22.77,22.61,22.69
