AETI,2015-01-15,5.25,5.26,5.20,5.21,2015-01-14,5.40,5.40,5.25,5.25,2015-01-13,5.49,5.49,5.49,5.49,2015-01-12,5.50,5.50,5.45,5.49,2015-01-09,5.64,5.74,5.64,5.65,2015-01-08,5.80,5.97,5.69,5.69,2015-01-07,5.90,6.12,5.32,5.80,2015-01-06,5.49,5.63,5.29,5.58,2015-01-05,5.48,5.69,5.45,5.45,2015-01-02,5.52,5.79,5.45,5.45,2014-12-31,5.91,5.91,5.45,5.53,2014-12-30,5.81,5.81,5.81,5.81,2014-12-29,5.99,6.21,5.92,5.94
AEY,2015-01-15,2.37,2.40,2.36,2.40,2015-01-14,2.40,2.40,2.35,2.39,2015-01-13,2.38,2.41,2.38,2.41,2015-01-12,2.40,2.45,2.37,2.40,2015-01-09,2.36,2.47,2.36,2.46,2015-01-08,2.38,2.40,2.37,2.39,2015-01-07,2.40,2.40,2.36,2.40,2015-01-06,2.37,2.40,2.37,2.38,2015-01-05,2.40,2.45,2.37,2.37,2015-01-02,2.35,2.46,2.34,2.40,2014-12-31,2.42,2.47,2.42,2.44,2014-12-30,2.43,2.43,2.43,2.43,2014-12-29,2.42,2.47,2.41,2.42
AEZS,2015-01-15,0.59,0.59,0.56,0.56,2015-01-14,0.58,0.61,0.58,0.59,2015-01-13,0.59,0.62,0.58,0.59,2015-01-12,0.64,0.64,0.59,0.59,2015-01-09,0.60,0.62,0.58,0.61,2015-01-08,0.60,0.60,0.57,0.59,2015-01-07,0.59,0.60,0.57,0.60,2015-01-06,0.60,0.62,0.56,0.58,2015-01-05,0.61,0.61,0.59,0.60,2015-01-02,0.64,0.64,0.57,0.60,2014-12-31,0.62,0.64,0.59,0.60,2014-12-30,0.64,0.67,0.63,0.64,2014-12-29,0.57,0.65,0.56,0.62
AFAM,2015-01-15,30.36,30.54,29.73,30.36,2015-01-14,30.02,30.53,30.02,30.24,2015-01-13,30.01,31.26,30.01,30.19,2015-01-12,29.58,29.98,29.02,29.77,2015-01-09,29.60,29.84,29.37,29.50,2015-01-08,28.90,29.76,28.71,29.59,2015-01-07,28.83,28.83,28.30,28.68,2015-01-06,28.92,28.98,28.10,28.69,2015-01-05,28.91,29.31,28.59,28.91,2015-01-02,29.02,29.26,28.34,29.00,2014-12-31,29.13,29.25,28.75,28.95,2014-12-30,29.13,29.30,28.95,29.13,2014-12-29,29.50,29.65,29.00,29.11
AFCB,2015-01-15,26.55,26.55,26.55,26.55,2015-01-14,26.55,26.55,26.55,26.55,2015-01-13,26.55,26.55,26.55,26.55,2015-01-12,26.55,26.55,26.55,26.55,2015-01-09,25.40,25.40,25.40,25.40,2015-01-08,25.40,25.40,25.40,25.40,2015-01-07,25.40,25.40,25.40,25.40,2015-01-06,25.40,25.40,25.40,25.40,2015-01-05,25.40,25.40,25.40,25.40,2015-01-02,25.40,25.40,25.40,25.40,2014-12-31,25.40,25.40,25.40,25.40,2014-12-30,25.40,25.40,25.40,25.40,2014-12-29,25.40,25.40,25.40,25.40
AFFX,2015-01-15,10.94,11.09,10.90,10.95,2015-01-14,10.70,10.97,10.69,10.88,2015-01-13,10.88,10.98,10.73,10.85,2015-01-12,10.77,10.84,10.43,10.69,2015-01-09,10.47,10.53,10.32,10.39,2015-01-08,10.23,10.58,10.12,10.49,2015-01-07,9.97,10.12,9.94,10.10,2015-01-06,10.00,10.10,9.80,9.94,2015-01-05,9.94,10.18,9.81,9.99,2015-01-02,9.98,10.09,9.70,9.99,2014-12-31,10.00,10.29,9.87,9.87,2014-12-30,10.08,10.17,9.92,9.99,2014-12-29,10.11,10.36,10.08,10.15
AFH,2015-01-15,16.50,16.60,15.96,16.03,2015-01-14,16.68,16.71,16.14,16.47,2015-01-13,16.22,16.85,16.22,16.79,2015-01-12,16.00,16.40,15.89,16.14,2015-01-09,16.10,16.34,15.90,16.05,2015-01-08,16.15,16.15,16.01,16.05,2015-01-07,15.98,16.18,15.76,16.03,2015-01-06,16.35,16.50,15.58,15.87,2015-01-05,16.80,17.00,16.23,16.35,2015-01-02,16.37,17.13,16.37,16.84,2014-12-31,16.17,16.44,15.90,16.32,2014-12-30,16.13,16.28,15.86,16.15,2014-12-29,16.33,16.33,15.88,16.00
AFMD,2015-01-15,5.92,6.16,5.60,5.62,2015-01-14,6.07,6.27,5.85,5.91,2015-01-13,6.85,6.96,5.82,6.20,2015-01-12,6.92,7.37,6.81,6.87,2015-01-09,7.14,7.37,6.54,6.91,2015-01-08,7.40,7.61,7.10,7.13,2015-01-07,6.47,7.60,6.44,7.20,2015-01-06,6.65,6.65,6.18,6.40,2015-01-05,6.19,7.02,6.09,6.55,2015-01-02,6.31,6.52,6.16,6.24,2014-12-31,6.25,6.39,6.11,6.20,2014-12-30,6.25,6.25,6.18,6.22,2014-12-29,6.07,6.36,6.05,6.31
AFOP,2015-01-15,15.26,15.31,14.88,14.96,2015-01-14,14.74,15.39,14.74,15.27,2015-01-13,14.45,15.07,14.31,15.05,2015-01-12,14.14,14.25,13.82,14.19,2015-01-09,14.34,14.59,14.10,14.18,2015-01-08,14.09,14.43,13.99,14.36,2015-01-07,13.91,14.10,13.76,13.98,2015-01-06,14.10,14.26,13.60,13.79,2015-01-05,14.63,14.76,14.01,14.07,2015-01-02,14.63,14.96,14.22,14.55,2014-12-31,14.90,15.03,14.50,14.51,2014-12-30,14.83,14.97,14.72,14.83,2014-12-29,15.00,15.34,14.75,14.84
